"Show products wherever you want","Exiba seus produtos onde você quiser"
"Filter by Category(ies)","Filtrar por Categoria(s)"
"Filter by Attribute","Filtrar por Atributo"
"Select an attribute to filter the product list.","Selecione um atributo para filtrar a lista de produtos."
"-- Please Select an Attribute --","-- Por favor, selecione um Atributo --"
"Attribute Value","Valor do Atributo"
"Set the value that the attribute above must have.","Informe o valor que o atributo deve conter."
"Number of Products to Display","Número de produtos para exibir"
"Random Products","Randomizar Produtos"
"Works when the cache is refreshed. See the option ""Cache Lifetime (seconds)"".","Funciona quando o cache é atualizado. Veja a opção ""Duração do Cache (segundos)""."
"Show Out of Stock Products","Mostrar produtos sem estoque"
"This option only affects when the inventory is configured to display out of stock products (see ""System/Configuration/Catalog/Inventory/Stock Options"").","Esta opção só afeta a listagem quando a loja está configurada para exibir produtos sem estoque (veja ""Sistema/Configuração/Catálogo/Estoque/Opções de Estoque"")."
"Template","Template"
"Configure it in ""Widget Options""","Configure em ""Opções do Widget"""
"This widget can use the catalog/product/list.phtml or your own template file to show the products.","Este widget pode usar o arquivo catalog/product/list.phtml ou seu próprio arquivo de template para mostrar os produtos."
"Default Product List (grid mode)","Listagem de Produtos Padrão (modo tabela)"
"Default Product List (list mode)","Listagem de Produtos Padrão (modo lista)"
"Custom Template","Template Personalizado"
"Number of Columns in the Grid","Número de colunas da tabela"
"E.g. my/template/file.phtml. You can copy the catalog/product/list.phtml and customize it.","Ex. my/template/file.phtml. Você pode copiar o arquivo catalog/product/list.phtml e personalizá-lo."
"Frontend Title","Título de Visualização"
"Set a title for the product list on frontend (call $this->getFrontendTitle in your template file).","Defina um título para a listagem de produtos na visualização da sua loja (use $this->getFrontendTitle no seu arquivo de template)."
"Cache Lifetime (seconds)","Duração do Cache (segundos)"
"The default value is 86400. To refresh instantly, clear the ""Blocks HTML output"" cache.","O valor padrão é 86400. Para atualizar instantaneamente, atualize o cache do tipo ""Blocks HTML output""."
"Cache ""Form Key""","Cache ""Form Key"""
"If your template file has some functionality that needs Magento form key validation (e.g. Add to cart button) keep it enabled. Disable to use the same cache for each user and improve performance.","Se o seu arquivo de template possui alguma funcionalidade que necessite a validação do form key (ex. Botão de adicionar ao carrinho) mantenha a opção ativada. Desabilite para usar o mesmo cache para todos os usuários e garantir mais performance."
"Sort by Attribute","Ordenar pelo Atributo"
"Select an attribute to sort the product list.","Selecione um atributo para ordenar a lista de produtos."
"Sort Order","Ordem da Classificação"
"Ascending","Crescente"
"Descending","Decrescente"
